Country,Happiness Rank,Happiness Score,Life Ladder,GDP Per Capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of Corruption,Confidence in national government,Healthcare Expenses(% of GDP),Population(100 Million),Investment,Political Rights,Civil Liberties,Life Expectancy,Beer Servings,Shots of Liquor,Wine Servings,Total Alcohol Consumption,Continent,Economic Freedom Score,Legal System Integrity,Inflation,Regulation,Defence Spending
Norway,4.0,7.522,7.678277016,11.05094433,0.9476574059999999,72.23999786,0.9465658659999999,0.128627837,0.36804267799999996,0.663340509,8.76544424,0.05188607,5.669105409,1.0,1.0,82.1,169.0,71.0,129.0,6.7,Europe,7.58,10.0,9.857999999999999,7.4483813770000005,7143962183.0
Pakistan,81.0,5.194,5.131565094,8.38193512,0.5420380229999999,56.63999939,0.366844118,0.15038733199999998,0.842024505,0.228680417,2.3593994,1.89380513,0.979,4.0,5.0,66.37697561,0.0,0.0,0.0,0.0,Asia,6.15,5.833333333,8.062000000000001,6.36885803,7478971082.0
Palestinian Territories,,,4.646608353,8.485044478999999,0.7821691040000001,,0.541582882,-0.15820919,0.7301940920000001,0.46604275700000003,,,,,,,,,,,,,,,,
Panama,25.0,6.7860000000000005,6.859835625,9.822350502,0.89739114,68.69999695,0.7831825020000001,0.008150788,0.7957966329999999,0.36155623200000003,6.3885004,0.03969249,5.0577,2.0,2.0,77.76729268,285.0,104.0,18.0,7.2,North America,7.34,5.0,8.86,7.011416186,0.0
Paraguay,53.0,5.877999999999999,5.820058346000001,8.897328377000001,0.931004941,64.73999786,0.748206615,0.215980485,0.77365911,0.296063691,7.61891241,0.06639119,0.3152655,3.0,3.0,73.02563415,213.0,117.0,74.0,7.3,South America,6.89,3.333333333,9.264,6.399594337999999,320909756.6
Peru,58.0,5.824,5.824557304,9.300539017,0.7640715840000001,66.66000366,0.703000546,-0.088603899,0.8668379190000001,0.272202104,4.840802,0.31376671,7.817116455,2.0,3.0,74.78073171,163.0,160.0,21.0,6.1,South America,7.57,5.0,9.27,7.626336372000001,2857983382.0
Philippines,90.0,5.073,5.0019650460000005,8.697647095,0.812921703,61.0,0.914499581,0.047976606,0.7711676359999999,0.758208573,4.37465267,1.01716359,5.639155962,3.0,3.0,68.4067561,71.0,186.0,1.0,4.6,Asia,7.27,4.166666667,9.366,7.2293755179999994,2898685257.0
Poland,60.0,5.791,5.87593174,10.05268764,0.9359238740000001,67.62000275,0.811301708,-0.03269821,0.8878958229999999,0.26862874600000003,6.20105252,0.37986412,14.067,1.0,1.0,78.20487805,343.0,215.0,56.0,10.9,Europe,7.32,7.5,9.25,7.683210234,8986838792.0
Portugal,88.0,5.102,4.9939622880000005,10.15835667,0.86603862,71.19999695,0.773821414,-0.09924101800000001,0.959288418,0.230625153,9.34825408,0.10358076,2.235595397,1.0,1.0,81.52195122,194.0,67.0,339.0,11.0,Europe,7.31,8.333333332999999,9.446,6.891811996,4137254045.0
Qatar,28.0,6.611000000000001,6.611298561,11.73848248,0.8381316659999999,67.33999634,0.9243336320000001,0.12791191,,,1.74822152,0.02481539,1.070879121,6.0,5.0,78.76258537,1.0,42.0,7.0,0.9,Asia,7.5,8.333333332999999,9.626,8.765284886,0.0
Romania,86.0,5.124,5.1668748860000004,9.814766883999999,0.7400431040000001,65.63999939,0.644536138,-0.11308287800000001,0.959486127,0.23637628600000002,4.70593414,0.19815481,4.317731472,2.0,2.0,74.96097561,297.0,122.0,167.0,10.4,Europe,7.47,5.8,9.334,7.76141566,2102886223.0
Russia,64.0,5.716,5.620735645,10.13286877,0.901295125,61.84000015,0.609104156,-0.303510815,0.937517941,0.452001721,4.93199479,1.4409687,6.85297,6.0,6.0,70.90853659,247.0,326.0,73.0,11.5,Asia,6.65,5.0,8.986,6.7826112610000004,
Rwanda,154.0,3.465,3.333047867,7.327535152,0.637147248,57.43999863,0.835491359,-0.009294649,0.08132489799999999,,8.45075994,0.11629553,0.3232051678,6.0,6.0,64.52453659,43.0,2.0,0.0,6.8,Africa,7.32,,8.746,8.348110791,79793910.09
Saudi Arabia,35.0,6.4110000000000005,6.396359444,10.8129282,0.8671009540000001,64.80000305,0.560455382,-0.13728000199999998,,,4.01962965,0.31557144,8.141026667,7.0,7.0,74.49334146,0.0,5.0,0.0,0.1,Asia,6.42,8.333333332999999,9.422,8.090377302,56497866667.0
Senegal,142.0,3.904,3.668736935,7.690368176000001,0.711077392,57.02000046,0.668252289,-0.024531322,0.851879895,0.6451075079999999,5.15350211,0.14976994,0.3452114859,2.0,2.0,66.80441463,9.0,1.0,7.0,0.3,Africa,5.9,5.0,9.716000000000001,5.924223501,196661489.0
Serbia,87.0,5.122999999999999,5.154521942,9.464881897,0.8194304109999999,66.51999664,0.46057468700000004,-0.131628886,0.951667845,0.223251179,9.91592609,0.07095383,2.345152815,2.0,2.0,75.48780488,283.0,131.0,127.0,9.6,Europe,6.55,5.833333333,8.533999999999999,6.563226137000001,853622633.2
Slovakia,45.0,5.995,5.91105938,10.17421913,0.925751448,67.27999878,0.6200042960000001,-0.038721785,0.9065321679999999,0.368380159,7.63384157,0.05423801,1.15141653,1.0,1.0,77.21219512,196.0,293.0,116.0,11.4,Europe,7.38,6.666666667,8.918,7.411313445,
Slovenia,55.0,5.848,6.062891006,10.23913479,0.924753785,69.59999847,0.904386282,-0.022012195,0.8907541040000001,0.238065988,8.757906199999999,0.02063531,1.680440877,1.0,1.0,81.07804878,270.0,51.0,276.0,10.6,Europe,6.84,7.5,9.48,6.8023837689999995,543496416.5
Somaliland region,91.0,5.0569999999999995,5.057314396000001,,0.786291242,,0.7582190040000001,,0.333831728,0.651241541,4.82495225,0.13908129,0.516,7.0,7.0,55.68558537,105.0,18.0,24.0,2.6,Oceania,,,,,
South Africa,113.0,4.6419999999999995,5.133887768,9.410440445,0.9065951109999999,52.41999817,0.590144992,-0.17093914699999999,0.838216782,0.42587745200000005,7.752550599999999,0.5501197668,1.521139945,2.0,2.0,57.44090244,225.0,76.0,81.0,8.2,Africa,6.98,4.166666667,8.918,7.147348419,4489590096.0
South Korea,47.0,5.984,6.003286838999999,10.36649513,0.77539736,71.91999817,0.61839807,,0.843719423,0.230812564,6.43717494,0.51014947,4.1041,2.0,2.0,82.15585366,140.0,16.0,9.0,9.8,Asia,7.45,8.333333332999999,9.56,7.256046195,31951760810.0
Spain,36.0,6.329,6.290690422000001,10.34525871,0.937023342,73.13999939,0.7545861009999999,-0.06326709700000001,0.8435930009999999,0.339146554,9.07564442,0.46447697,25.299041417,1.0,1.0,83.3804878,284.0,157.0,112.0,10.0,Europe,7.35,8.333333332999999,9.51,6.8847972760000005,18860623363.0
Sri Lanka,132.0,4.271,4.224593163,9.208340645,0.8243572709999999,66.30000305,0.800397217,0.155217215,0.822879076,0.777017355,3.40384598,0.20966,0.6812389563,4.0,4.0,74.95319512,16.0,104.0,0.0,2.2,Asia,6.73,4.166666667,8.492,6.736713205,1474902628.0
Sudan,118.0,4.55,4.550499439,8.318027496000001,0.812500715,54.56000137,0.41194790600000003,-0.06487759900000001,0.733679295,,5.31033456,0.38647803,1.736764247,7.0,7.0,63.71073171,8.0,13.0,0.0,1.7,Africa,,,,,0.0
Suriname,40.0,6.269,6.269286632999999,9.624583244,0.797262073,62.24000168,0.885488451,-0.07657465299999999,0.7512828709999999,0.72176528,5.34218893,0.00553208,0.1954028119,2.0,3.0,71.29417073,128.0,178.0,7.0,5.6,South America,6.64,,8.998,6.867504796,0.0
Sweden,8.0,7.364,7.560147762000001,10.67609787,0.929397464,72.05999756,0.944382191,0.125826225,0.253543109,0.6264972089999999,10.9382056,0.09799186,7.994305865,1.0,1.0,82.55121951,152.0,60.0,186.0,7.2,Europe,7.48,10.0,9.822000000000001,8.26281869,6243671605.0
Switzerland,1.0,7.587000000000001,7.776208877999999,10.93577576,0.94686389,72.77999878,0.9454280140000001,0.13308765,0.323240787,0.769940197,11.05786041,0.08282396,97.577566732,1.0,1.0,83.19756098,185.0,100.0,280.0,10.2,Europe,8.2,8.333333332999999,9.866,8.684988938,4592165378.0
Syria,,,3.164491177,8.474884033,0.588395178,60.54000092,0.466770619,0.314085454,0.672964215,,,,,,,,5.0,35.0,16.0,1.0,Asia,5.27,7.5,2.66,5.3352842019999995,
Taiwan Province of China,,,6.1259169579999995,10.61984253,0.8250724079999999,,0.6981951590000001,0.013813322,0.802829146,0.33514151,,,,,,,,,,,,,,,,
Tajikistan,106.0,4.7860000000000005,4.496571541000001,7.751204014,0.728590906,62.72000122,0.749034524,-0.073647104,0.7170977590000001,0.9215180279999999,5.98197819,0.08548651,0.42614789,7.0,6.0,69.76843902,2.0,15.0,0.0,0.3,Asia,6.75,,8.834,6.20776471,76260471.83
Tanzania,146.0,3.781,4.006897448999999,7.708782672999999,0.8320564029999999,53.77999878,0.577453315,0.20423518100000002,0.8869979379999999,0.41464510600000004,5.09003276,0.53879957,1.96058162,3.0,4.0,65.4874878,36.0,6.0,1.0,5.7,Africa,6.62,8.333333332999999,6.8,7.017328008,359739418.8
Thailand,34.0,6.455,6.300235271,9.578331947,0.906098127,65.94000244,0.8469328279999999,0.37302619200000003,0.908612072,0.702815235,3.52294116,0.686576,9.003516296,6.0,5.0,74.60119512,99.0,258.0,1.0,6.4,Asia,6.58,4.166666667,9.398,7.040579901,5491915221.0
Tunisia,107.0,4.739,4.463531017,9.249967575,0.614422798,65.45999908,0.567737222,-0.188796028,0.899453163,0.435219467,6.60642299,0.11273661,0.9656789651000001,1.0,3.0,74.97597561,51.0,3.0,20.0,1.3,Africa,6.4,8.333333332999999,8.9,6.813875534,681225950.6
Turkey,76.0,5.332000000000001,5.309076309,9.917490959,0.7392805809999999,64.87999725,0.47090321799999996,-0.22047071199999999,0.701850235,0.53099966,4.47785046,0.78271472,17.55,3.0,4.0,75.42621951,51.0,22.0,7.0,1.4,Asia,6.99,5.833333333,8.222000000000001,6.687992677,17958240406.0
Turkmenistan,70.0,5.547999999999999,5.463827133,9.412086487,0.945841253,60.27999878,0.78556335,-0.144082606,,,4.77595158,0.05565284,4.258767,7.0,7.0,65.73643902,19.0,71.0,32.0,2.2,Asia,,,,,0.0
Uganda,141.0,3.931,4.309237957,7.383019924,0.884721696,52.04000092,0.649463236,0.091249466,0.8375458720000001,0.396223307,7.89319139,0.4014487,1.057301392,6.0,5.0,59.17907317,45.0,9.0,0.0,8.3,Africa,7.28,5.833333333,7.196000000000001,7.968029637000001,351838247.0
Ukraine,111.0,4.681,5.030342102,9.026679039,0.897573471,62.79999924,0.5636497739999999,-0.203787565,0.8962370159999999,0.236936122,7.11666043,0.45154029,3.05,3.0,3.0,71.1895122,206.0,237.0,45.0,8.9,Europe,6.24,6.666666667,9.888,6.588028733,4136888486.0
United Arab Emirates,20.0,6.901,7.217766762,10.99237061,0.855876803,66.44000244,0.9197925929999999,,,,3.42311687,0.09154302,8.795098707,6.0,6.0,77.5412439,16.0,135.0,5.0,2.8,Asia,7.71,6.666666667,9.868,8.584499145,19024098026.0
United Kingdom,21.0,6.867000000000001,6.880784035,10.51577282,0.934574962,71.45999908,0.888970494,0.367420435,0.425169915,0.421262175,8.33916884,0.65128861,58.450557091,1.0,1.0,81.60487805,219.0,126.0,195.0,10.4,Europe,7.91,8.333333332999999,9.436,8.069761664,58495656721.0
United States,15.0,7.119,7.026226997,10.83013153,0.903192282,68.66000366,0.822662294,0.20624339600000002,0.71003443,0.348855615,16.36637753,3.20896618,379.0,1.0,1.0,78.74146341,249.0,158.0,84.0,8.7,North America,7.88,8.333333332999999,9.586,8.388109262,685000000000.0
Uruguay,32.0,6.485,6.449728489,9.824302673,0.864693701,68.27999878,0.870590031,0.05741559,0.615349591,0.584287286,8.76402574,0.03431552,1.369314228,1.0,1.0,77.13821951,115.0,35.0,220.0,6.6,South America,7.34,4.166666667,8.38,6.733924697000001,924640335.6
Uzbekistan,44.0,6.002999999999999,6.019331932,8.469233512999999,0.933141291,63.59999847,0.913550138,-0.039794546,0.46337509200000004,,5.97192624,0.312989,1.068393,7.0,7.0,68.45307317,25.0,101.0,8.0,2.4,Asia,,,,,0.0
Venezuela,23.0,6.81,7.066577435,9.780121803,0.931629658,65.77999878,0.80410856,-0.20164363100000002,0.743374348,0.539273024,5.44087389,0.31155134,3.764,5.0,5.0,74.40960976,333.0,100.0,3.0,7.7,South America,3.82,1.6666666669999999,5.7860000000000005,4.048325086,5114847100.0
Vietnam,75.0,5.36,5.53456974,8.480765343,0.775008678,66.81999969,0.856053472,-0.108108044,0.814884901,0.8564537170000001,6.27841012,0.917133,11.8,7.0,5.0,75.77773171,111.0,2.0,1.0,2.0,Asia,6.4,6.666666667,8.182,6.560864737,3360860380.0
Yemen,136.0,4.077,4.0606007580000005,8.241021156,0.681678295,54.29999924,0.705815315,-0.17852664,0.793232739,0.598434687,,0.26916207,-0.01544480835,7.0,6.0,64.03139024,6.0,0.0,0.0,0.1,Asia,6.17,3.333333333,6.542000000000001,6.286496445,
Zambia,85.0,5.129,5.013374805,8.163204193,0.780022562,51.58000183,0.787760317,-0.0030851190000000003,0.806394398,0.5941137670000001,3.93052913,0.16100587,1.582666667,3.0,4.0,60.78568293,32.0,19.0,4.0,2.5,Africa,7.19,6.666666667,8.684,6.875480838,346301423.1
Zimbabwe,115.0,4.61,4.955100536000001,7.534424305,0.896476209,49.54000092,0.469531178,-0.075712129,0.8586905,0.407083839,6.86862124,0.15777451,0.3992,5.0,5.0,59.16107317,64.0,18.0,4.0,4.7,Africa,5.06,5.0,9.2156,3.611441104,318272000.0
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Andorra,,,,,,,,,,,10.0469414,,,,,,245.0,138.0,312.0,12.4,Europe,,,,,0.0
Arab World,,,,,,,,,,,4.01204963842291,,,,,,,,,,,,,,,122000000000.0
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Antigua and Barbuda,,,,,,,,,,,5.14781703,,,,,,,,,,,,,,,0.0
Burundi,157.0,2.905,,,,,,,,,8.63756421,0.1019927,0.04958437728,7.0,6.0,57.10704878,88.0,0.0,0.0,6.3,Africa,5.22,,6.398,6.2863581360000005,58966662.28
"Bahamas, The",,,,,,,,,,,6.04477612,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,5.3225885,,,,,,263.0,114.0,8.0,6.8,North America,7.13,,9.736,8.032703775,15219125.0
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Barbados,,,,,,,,,,,7.74125648,,,,,,143.0,173.0,36.0,6.3,North America,6.67,,9.094,7.178365832000001,0.0
Brunei Darussalam,,,,,,,,,,,1.8509721000000001,,,,,,,,,,,7.07,8.333333332999999,9.908,8.626109755,411261473.9
Bhutan,79.0,5.252999999999999,,,,,,,,,3.53426234,0.00787386,0.010768411289999998,3.0,4.0,69.83285366,23.0,0.0,0.0,0.4,Asia,,,7.816068611,,0.0
Central African Republic,148.0,3.678,,,,,,,,,3.87415262,0.045461,0.003,7.0,7.0,51.41912195,17.0,2.0,1.0,1.8,Africa,4.93,,8.846,5.323969894,42746025.19
Central Europe and the Baltics,,,,,,,,,,,6.547259453539049,,,,,,,,,,,,,,,18980363983.0
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Cote d'Ivoire,,,,,,,,,,,6.01966007,,,,,,37.0,1.0,7.0,4.0,Africa,5.64,4.166666667,9.738,6.573646395,407596534.1
Cabo Verde,,,,,,,,,,,5.08776221,,,,,,144.0,56.0,16.0,4.0,Africa,,,,,9736385.839
Caribbean small states,,,,,,,,,,,5.3555925562425095,,,,,,,,,,,,,,,355159679.7
Cuba,,,,,,,,,,,9.29862453,,,,,,93.0,137.0,5.0,4.2,North America,,,,,126872246.7
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Djibouti,126.0,4.369,,,,,,,,,4.63176867,0.00927414,0.1239984245,6.0,5.0,62.28565854,15.0,44.0,3.0,1.1,Africa,,,,,0.0
Dominica,,,,,,,,,,,5.87236836,,,,,,52.0,286.0,26.0,6.6,North America,,,,,0.0
East Asia & Pacific (excluding high income),,,,,,,,,,,4.34158733487575,,,,,,,,,,,,,,,184000000000.0
Early-demographic dividend,,,,,,,,,,,4.89985231890572,,,,,,,,,,,,,,,228000000000.0
East Asia & Pacific,,,,,,,,,,,6.815784844050009,,,,,,,,,,,,,,,324000000000.0
Europe & Central Asia (excluding high income),,,,,,,,,,,4.996282490613,,,,,,,,,,,,,,,115000000000.0
Europe & Central Asia,,,,,,,,,,,8.895169887982698,,,,,,,,,,,,,,,402000000000.0
"Egypt, Arab Rep.",,,,,,,,,,,4.55305428,,,,,,,,,,,,,,,
Euro area,,,,,,,,,,,10.188546143361599,,,,,,,,,,,,,,,192000000000.0
Eritrea,,,,,,,,,,,2.96121577,,,,,,18.0,0.0,0.0,0.5,Africa,,,,,0.0
European Union,,,,,,,,,,,9.68398798237747,,,,,,,,,,,,,,,278000000000.0
Fragile and conflict affected situations,,,,,,,,,,,4.17445847237556,,,,,,,,,,,,,,,16449796973.0
Fiji,,,,,,,,,,,3.53699015,,,,,,77.0,35.0,1.0,2.0,Oceania,6.84,,9.316,8.866701532999999,59221516.41
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Micronesia, Fed. Sts.",,,,,,,,,,,11.94296024,,,,,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Gambia, The",,,,,,,,,,,6.1363589,,,,,,,,,,,6.87,5.833333333,9.15,6.948189267999999,
Guinea-Bissau,,,,,,,,,,,4.85181988,,,,,,28.0,31.0,21.0,2.5,Africa,5.96,4.166666667,9.574,6.622181401000001,24491750.68
Equatorial Guinea,,,,,,,,,,,1.44458403,,,,,,92.0,0.0,233.0,5.8,Africa,,,,,0.0
Grenada,,,,,,,,,,,5.70029356,,,,,,199.0,438.0,28.0,11.9,North America,,,,,0.0
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Guyana,,,,,,,,,,,4.83490908,,,,,,93.0,302.0,1.0,7.1,South America,6.3,2.5,9.522,7.281699867,33542606.6
High income,,,,,,,,,,,11.7300413640963,,,,,,,,,,,,,,,1250000000000.0
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,5.41761595481261,,,,,,,,,,,,,,,5521179381.0
IBRD only,,,,,,,,,,,5.37102603734933,,,,,,,,,,,,,,,485000000000.0
IDA & IBRD total,,,,,,,,,,,5.29132417612783,,,,,,,,,,,,,,,509000000000.0
IDA total,,,,,,,,,,,4.11743745216036,,,,,,,,,,,,,,,24500032997.0
IDA blend,,,,,,,,,,,3.5191450020409705,,,,,,,,,,,,,,,11658703265.0
IDA only,,,,,,,,,,,4.79794132186746,,,,,,,,,,,,,,,12841329732.0
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jamaica,65.0,5.709,,,,,,,,,4.99695358,0.02871934,0.9249778637,2.0,3.0,75.79817073,82.0,97.0,9.0,3.4,North America,7.14,3.333333333,8.62,7.515595466000001,137635505.7
Kiribati,,,,,,,,,,,8.59842391,,,,,,21.0,34.0,1.0,1.0,Oceania,,,,,0.0
St. Kitts and Nevis,,,,,,,,,,,5.47194258,,,,,,,,,,,,,,,0.0
Latin America & Caribbean (excluding high income),,,,,,,,,,,7.9486469111792895,,,,,,,,,,,,,,,70059255297.0
Liberia,116.0,4.571000000000001,,,,,,,,,8.48516518,0.04499621,0.7210331354,3.0,4.0,61.16095122,19.0,152.0,2.0,3.1,Africa,,,,,15179000.0
St. Lucia,,,,,,,,,,,5.86491898,,,,,,171.0,315.0,71.0,10.1,North America,,,,,0.0
Latin America & Caribbean,,,,,,,,,,,7.88650633955391,,,,,,,,,,,,,,,76618759857.0
Least developed countries: UN classification,,,,,,,,,,,4.17522427458482,,,,,,,,,,,,,,,15731297507.0
Low income,,,,,,,,,,,5.489537007400839,,,,,,,,,,,,,,,5860738119.0
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Lower middle income,,,,,,,,,,,3.7756053344029903,,,,,,,,,,,,,,,96248712722.0
Low & middle income,,,,,,,,,,,5.25348461068059,,,,,,,,,,,,,,,493000000000.0
Lesotho,97.0,4.898,,,,,,,,,8.58117764,0.02174645,0.113219241,3.0,3.0,49.96121951,82.0,29.0,0.0,2.8,Africa,6.19,,8.78,7.364281127999999,53240145.82
Late-demographic dividend,,,,,,,,,,,5.52609792235829,,,,,,,,,,,,,,,369000000000.0
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Monaco,,,,,,,,,,,2.23542721,,,,,,0.0,0.0,0.0,0.0,Europe,,,,,0.0
Maldives,,,,,,,,,,,8.67304801,,,,,,0.0,0.0,0.0,0.0,Asia,,,,,0.0
Middle East & North Africa,,,,,,,,,,,4.697401768786571,,,,,,,,,,,,,,,154000000000.0
Marshall Islands,,,,,,,,,,,18.70850108,,,,,,0.0,0.0,0.0,0.0,Oceania,,,,,0.0
Middle income,,,,,,,,,,,5.2503423177153605,,,,,,,,,,,,,,,487000000000.0
North Macedonia,,,,,,,,,,,6.61339803,,,,,,,,,,,,,,,119410402.5
Middle East & North Africa (excluding high income),,,,,,,,,,,5.60141717370131,,,,,,,,,,,,,,,46439276405.0
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Mozambique,94.0,4.971,,,,,,,,,5.14836046,0.28010691,3.868353885,4.0,4.0,55.3712439,47.0,18.0,5.0,1.3,Africa,5.93,5.0,9.582,6.091911492,139100553.3
Mauritius,71.0,5.477,,,,,,,,,4.36008661,0.01262605,0.2082901395,1.0,2.0,74.35317073,98.0,31.0,18.0,2.6,Africa,8.15,,9.23,8.38598806,16662229.62
North America,,,,,,,,,,,15.746351475991302,,,,,,,,,,,,,,,705000000000.0
Namibia,,,,,,,,,,,9.18928519,,,,,,376.0,3.0,1.0,6.8,Africa,6.79,8.333333332999999,8.692,7.642481002,412163503.6
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Nauru,,,,,,,,,,,7.4504211,,,,,,49.0,0.0,8.0,1.0,Oceania,,,,,0.0
OECD members,,,,,,,,,,,11.798951291811699,,,,,,,,,,,,,,,1160000000000.0
Oman,22.0,6.853,,,,,,,,,2.54985424,0.0419981,-2.691547464,6.0,5.0,77.32419512,22.0,16.0,1.0,0.7,Asia,7.04,8.333333332999999,9.418,8.695599955,9250650195.0
Other small states,,,,,,,,,,,3.5909006309352702,,,,,,,,,,,,,,,3828862888.0
Palau,,,,,,,,,,,11.4212727,,,,,,306.0,63.0,23.0,6.9,Oceania,,,,,0.0
Papua New Guinea,,,,,,,,,,,2.66693773,,,,,,44.0,39.0,1.0,1.5,Oceania,,,,,110623185.3
Pre-demographic dividend,,,,,,,,,,,3.79059500222515,,,,,,,,,,,,,,,16385564270.0
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Korea, Dem. People’s Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Pacific island small states,,,,,,,,,,,5.1565059011765095,,,,,,,,,,,,,,,0.0
Post-demographic dividend,,,,,,,,,,,12.1428758888376,,,,,,,,,,,,,,,1120000000000.0
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
South Asia,,,,,,,,,,,3.2546645314020597,,,,,,,,,,,,,,,58489489059.0
Singapore,24.0,6.797999999999999,,,,,,,,,3.35180899,0.05535002,70.579746513,4.0,4.0,82.59512195,60.0,12.0,11.0,1.5,Asia,8.64,8.333333332999999,9.094,8.956404935,9171948019.0
Solomon Islands,,,,,,,,,,,5.64712204,,,,,,56.0,11.0,1.0,1.2,Oceania,,,,,0.0
Sierra Leone,123.0,4.507,,,,,,,,,10.59042285,0.07237025,0.51868,3.0,3.0,51.30817073,25.0,3.0,2.0,6.7,Africa,6.27,5.833333333,7.426,6.067249122000001,29758934.08
San Marino,,,,,,,,,,,7.32315588,,,,,,0.0,0.0,0.0,0.0,Europe,,,,,0.0
Somalia,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Africa,,,,,0.0
Sub-Saharan Africa (excluding high income),,,,,,,,,,,5.0663025222478,,,,,,,,,,,,,,,18751443006.0
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,988225988.7
Sub-Saharan Africa,,,,,,,,,,,5.0658717522527095,,,,,,,,,,,,,,,18761367116.0
Small states,,,,,,,,,,,3.8684977161927905,,,,,,,,,,,,,,,4243244084.0
Sao Tome and Principe,,,,,,,,,,,6.47638899,,,,,,,,,,,,,,,0.0
Eswatini,,,,,,,,,,,7.45511665,,,,,,,,,,,,,,,90639795.27
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Seychelles,,,,,,,,,,,4.4076258,,,,,,157.0,25.0,51.0,4.1,Africa,,,8.577925875,,9924109.749
Syrian Arab Republic,,,,,,,,,,,3.56555954,,,,,,,,,,,,,,,0.0
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,4.34172934974533,,,,,,,,,,,,,,,184000000000.0
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,5.16149445104924,,,,,,,,,,,,,,,125000000000.0
Togo,158.0,2.839,,,,,,,,,6.12357093,0.07416802,0.2577563563,4.0,4.0,60.1207561,36.0,2.0,19.0,1.3,Africa,5.33,5.0,9.474,4.967241423,62931049.68
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,,,,7.872544587315071,,,,,,,,,,,,,,,76491887610.0
Timor-Leste,,,,,,,,,,,1.21629391,,,,,,1.0,1.0,4.0,0.1,Asia,6.69,,7.64,7.408065617,33388000.0
Middle East & North Africa (IDA & IBRD countries),,,,,,,,,,,5.60141717370131,,,,,,,,,,,,,,,46439276405.0
Tonga,,,,,,,,,,,5.06484233,,,,,,36.0,21.0,5.0,1.1,Oceania,,,,,0.0
South Asia (IDA & IBRD),,,,,,,,,,,3.2546645314020597,,,,,,,,,,,,,,,58489489059.0
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,,,,5.0658717522527095,,,,,,,,,,,,,,,18761367116.0
Trinidad and Tobago,41.0,6.167999999999999,,,,,,,,,4.90389133,0.01360092,0.4060808935,2.0,2.0,70.55770732,,,,,,6.6,4.166666667,8.148,7.449798349,168762442.5
Tuvalu,,,,,,,,,,,14.35166111,,,,,,6.0,41.0,9.0,1.0,Oceania,,,,,0.0
Upper middle income,,,,,,,,,,,5.63490188818617,,,,,,,,,,,,,,,391000000000.0
St. Vincent and the Grenadines,,,,,,,,,,,3.85218799,,,,,,,,,,,,,,,0.0
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Vanuatu,,,,,,,,,,,3.7651373,,,,,,21.0,18.0,11.0,0.9,Oceania,,,,,0.0
World,,,,,,,,,,,9.46374185948091,,,,,,,,,,,,,,,1740000000000.0
"Yemen, Rep.",,,,,,,,,,,5.19593612,,,,,,,,,,,,,,,1618840127.0
Swaziland,101.0,4.867,,,,,,,,,,0.01319011,0.03168132025,7.0,5.0,48.87395122,90.0,2.0,2.0,4.7,Africa,6.44,,8.212,7.421894947999999,
Trinidad & Tobago,,,,,,,,,,,,,,,,,197.0,156.0,7.0,6.4,North America,,,,,
